LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,CPI,TOT,AGRWTH,A,2000,4.457435,
AUS,CPI,TOT,AGRWTH,A,2001,4.407135,
AUS,CPI,TOT,AGRWTH,A,2002,2.981575,
AUS,CPI,TOT,AGRWTH,A,2003,2.732596,
AUS,CPI,TOT,AGRWTH,A,2004,2.343255,
AUS,CPI,TOT,AGRWTH,A,2005,2.691832,
AUS,CPI,TOT,AGRWTH,A,2006,3.555288,
AUS,CPI,TOT,AGRWTH,A,2007,2.327611,
AUS,CPI,TOT,AGRWTH,A,2008,4.350298,
AUS,CPI,TOT,AGRWTH,A,2009,1.771117,
AUS,CPI,TOT,AGRWTH,A,2010,2.91834,
AUS,CPI,TOT,AGRWTH,A,2011,3.30385,
AUS,CPI,TOT,AGRWTH,A,2012,1.76278,
AUS,CPI,TOT,AGRWTH,A,2013,2.449889,
AUS,CPI,TOT,AGRWTH,A,2014,2.487923,
AUS,CPI,TOT,AGRWTH,A,2015,1.508367,
AUT,CPI,TOT,AGRWTH,A,2000,2.344868,
AUT,CPI,TOT,AGRWTH,A,2001,2.65,
AUT,CPI,TOT,AGRWTH,A,2002,1.810359,
AUT,CPI,TOT,AGRWTH,A,2003,1.355554,
AUT,CPI,TOT,AGRWTH,A,2004,2.061207,
AUT,CPI,TOT,AGRWTH,A,2005,2.299138,
AUT,CPI,TOT,AGRWTH,A,2006,1.441547,
AUT,CPI,TOT,AGRWTH,A,2007,2.168556,
AUT,CPI,TOT,AGRWTH,A,2008,3.215951,
AUT,CPI,TOT,AGRWTH,A,2009,0.5063094,
AUT,CPI,TOT,AGRWTH,A,2010,1.813532,
AUT,CPI,TOT,AGRWTH,A,2011,3.286583,
AUT,CPI,TOT,AGRWTH,A,2012,2.485675,
AUT,CPI,TOT,AGRWTH,A,2013,2.000158,
AUT,CPI,TOT,AGRWTH,A,2014,1.605806,
AUT,CPI,TOT,AGRWTH,A,2015,0.9041866,
BEL,CPI,TOT,AGRWTH,A,2000,2.544518,
BEL,CPI,TOT,AGRWTH,A,2001,2.469258,
BEL,CPI,TOT,AGRWTH,A,2002,1.645214,
BEL,CPI,TOT,AGRWTH,A,2003,1.588964,
BEL,CPI,TOT,AGRWTH,A,2004,2.097283,
BEL,CPI,TOT,AGRWTH,A,2005,2.781433,
BEL,CPI,TOT,AGRWTH,A,2006,1.791208,
BEL,CPI,TOT,AGRWTH,A,2007,1.823056,
BEL,CPI,TOT,AGRWTH,A,2008,4.489444,
BEL,CPI,TOT,AGRWTH,A,2009,-0.05314567,
BEL,CPI,TOT,AGRWTH,A,2010,2.189299,
BEL,CPI,TOT,AGRWTH,A,2011,3.532082,
BEL,CPI,TOT,AGRWTH,A,2012,2.839664,
BEL,CPI,TOT,AGRWTH,A,2013,1.113096,
BEL,CPI,TOT,AGRWTH,A,2014,0.3400028,
BEL,CPI,TOT,AGRWTH,A,2015,0.5614291,
CAN,CPI,TOT,AGRWTH,A,2000,2.71944,
CAN,CPI,TOT,AGRWTH,A,2001,2.52512,
CAN,CPI,TOT,AGRWTH,A,2002,2.258394,
CAN,CPI,TOT,AGRWTH,A,2003,2.758563,
CAN,CPI,TOT,AGRWTH,A,2004,1.857259,
CAN,CPI,TOT,AGRWTH,A,2005,2.213552,
CAN,CPI,TOT,AGRWTH,A,2006,2.002025,
CAN,CPI,TOT,AGRWTH,A,2007,2.138384,
CAN,CPI,TOT,AGRWTH,A,2008,2.370271,
CAN,CPI,TOT,AGRWTH,A,2009,0.2994668,
CAN,CPI,TOT,AGRWTH,A,2010,1.776872,
CAN,CPI,TOT,AGRWTH,A,2011,2.912135,
CAN,CPI,TOT,AGRWTH,A,2012,1.515678,
CAN,CPI,TOT,AGRWTH,A,2013,0.9382919,
CAN,CPI,TOT,AGRWTH,A,2014,1.906636,
CAN,CPI,TOT,AGRWTH,A,2015,1.125241,
CZE,CPI,TOT,AGRWTH,A,2000,3.800774,
CZE,CPI,TOT,AGRWTH,A,2001,4.677164,
CZE,CPI,TOT,AGRWTH,A,2002,1.87806,
CZE,CPI,TOT,AGRWTH,A,2003,0.1135768,
CZE,CPI,TOT,AGRWTH,A,2004,2.775111,
CZE,CPI,TOT,AGRWTH,A,2005,1.842574,
CZE,CPI,TOT,AGRWTH,A,2006,2.542938,
CZE,CPI,TOT,AGRWTH,A,2007,2.862021,
CZE,CPI,TOT,AGRWTH,A,2008,6.33942,
CZE,CPI,TOT,AGRWTH,A,2009,1.033227,
CZE,CPI,TOT,AGRWTH,A,2010,1.464097,
CZE,CPI,TOT,AGRWTH,A,2011,1.928794,
CZE,CPI,TOT,AGRWTH,A,2012,3.293733,
CZE,CPI,TOT,AGRWTH,A,2013,1.418733,
CZE,CPI,TOT,AGRWTH,A,2014,0.3531169,
CZE,CPI,TOT,AGRWTH,A,2015,0.331574,
DNK,CPI,TOT,AGRWTH,A,2000,2.903277,
DNK,CPI,TOT,AGRWTH,A,2001,2.337875,
DNK,CPI,TOT,AGRWTH,A,2002,2.424437,
DNK,CPI,TOT,AGRWTH,A,2003,2.075078,
DNK,CPI,TOT,AGRWTH,A,2004,1.154357,
DNK,CPI,TOT,AGRWTH,A,2005,1.817815,
DNK,CPI,TOT,AGRWTH,A,2006,1.924221,
DNK,CPI,TOT,AGRWTH,A,2007,1.693266,
DNK,CPI,TOT,AGRWTH,A,2008,3.416268,
DNK,CPI,TOT,AGRWTH,A,2009,1.30471,
DNK,CPI,TOT,AGRWTH,A,2010,2.310924,
DNK,CPI,TOT,AGRWTH,A,2011,2.758682,
DNK,CPI,TOT,AGRWTH,A,2012,2.397915,
DNK,CPI,TOT,AGRWTH,A,2013,0.7890718,
DNK,CPI,TOT,AGRWTH,A,2014,0.5640205,
DNK,CPI,TOT,AGRWTH,A,2015,0.4520341,
FIN,CPI,TOT,AGRWTH,A,2000,3.042096,
FIN,CPI,TOT,AGRWTH,A,2001,2.578441,
FIN,CPI,TOT,AGRWTH,A,2002,1.571221,
FIN,CPI,TOT,AGRWTH,A,2003,0.8774385,
FIN,CPI,TOT,AGRWTH,A,2004,0.1871234,
FIN,CPI,TOT,AGRWTH,A,2005,0.6238712,
FIN,CPI,TOT,AGRWTH,A,2006,1.566667,
FIN,CPI,TOT,AGRWTH,A,2007,2.510666,
FIN,CPI,TOT,AGRWTH,A,2008,4.065952,
FIN,CPI,TOT,AGRWTH,A,2009,-1.22217E-14,
FIN,CPI,TOT,AGRWTH,A,2010,1.184135,
FIN,CPI,TOT,AGRWTH,A,2011,3.416809,
FIN,CPI,TOT,AGRWTH,A,2012,2.808332,
FIN,CPI,TOT,AGRWTH,A,2013,1.478288,
FIN,CPI,TOT,AGRWTH,A,2014,1.0412,
FIN,CPI,TOT,AGRWTH,A,2015,-0.207932,
FRA,CPI,TOT,AGRWTH,A,2000,1.67596,
FRA,CPI,TOT,AGRWTH,A,2001,1.634781,
FRA,CPI,TOT,AGRWTH,A,2002,1.923412,
FRA,CPI,TOT,AGRWTH,A,2003,2.098472,
FRA,CPI,TOT,AGRWTH,A,2004,2.14209,
FRA,CPI,TOT,AGRWTH,A,2005,1.745869,
FRA,CPI,TOT,AGRWTH,A,2006,1.675125,
FRA,CPI,TOT,AGRWTH,A,2007,1.487998,
FRA,CPI,TOT,AGRWTH,A,2008,2.812862,
FRA,CPI,TOT,AGRWTH,A,2009,0.08762048,
FRA,CPI,TOT,AGRWTH,A,2010,1.531123,
FRA,CPI,TOT,AGRWTH,A,2011,2.111598,
FRA,CPI,TOT,AGRWTH,A,2012,1.954195,
FRA,CPI,TOT,AGRWTH,A,2013,0.8637155,
FRA,CPI,TOT,AGRWTH,A,2014,0.5077588,
FRA,CPI,TOT,AGRWTH,A,2015,0.03751438,
DEU,CPI,TOT,AGRWTH,A,2000,1.440268,
DEU,CPI,TOT,AGRWTH,A,2001,1.983857,
DEU,CPI,TOT,AGRWTH,A,2002,1.420807,
DEU,CPI,TOT,AGRWTH,A,2003,1.034223,
DEU,CPI,TOT,AGRWTH,A,2004,1.665736,
DEU,CPI,TOT,AGRWTH,A,2005,1.546911,
DEU,CPI,TOT,AGRWTH,A,2006,1.577429,
DEU,CPI,TOT,AGRWTH,A,2007,2.298341,
DEU,CPI,TOT,AGRWTH,A,2008,2.628383,
DEU,CPI,TOT,AGRWTH,A,2009,0.3127377,
DEU,CPI,TOT,AGRWTH,A,2010,1.103809,
DEU,CPI,TOT,AGRWTH,A,2011,2.075173,
DEU,CPI,TOT,AGRWTH,A,2012,2.008491,
DEU,CPI,TOT,AGRWTH,A,2013,1.504722,
DEU,CPI,TOT,AGRWTH,A,2014,0.9067971,
DEU,CPI,TOT,AGRWTH,A,2015,0.2344299,
GRC,CPI,TOT,AGRWTH,A,2000,3.151177,
GRC,CPI,TOT,AGRWTH,A,2001,3.373966,
GRC,CPI,TOT,AGRWTH,A,2002,3.629363,
GRC,CPI,TOT,AGRWTH,A,2003,3.530651,
GRC,CPI,TOT,AGRWTH,A,2004,2.898848,
GRC,CPI,TOT,AGRWTH,A,2005,3.545073,
GRC,CPI,TOT,AGRWTH,A,2006,3.195946,
GRC,CPI,TOT,AGRWTH,A,2007,2.895001,
GRC,CPI,TOT,AGRWTH,A,2008,4.152796,
GRC,CPI,TOT,AGRWTH,A,2009,1.210074,
GRC,CPI,TOT,AGRWTH,A,2010,4.712982,
GRC,CPI,TOT,AGRWTH,A,2011,3.32987,
GRC,CPI,TOT,AGRWTH,A,2012,1.50152,
GRC,CPI,TOT,AGRWTH,A,2013,-0.922165,
GRC,CPI,TOT,AGRWTH,A,2014,-1.311209,
GRC,CPI,TOT,AGRWTH,A,2015,-1.736046,
HUN,CPI,TOT,AGRWTH,A,2000,9.803608,
HUN,CPI,TOT,AGRWTH,A,2001,9.116809,
HUN,CPI,TOT,AGRWTH,A,2002,5.265448,
HUN,CPI,TOT,AGRWTH,A,2003,4.661017,
HUN,CPI,TOT,AGRWTH,A,2004,6.744347,
HUN,CPI,TOT,AGRWTH,A,2005,3.561517,
HUN,CPI,TOT,AGRWTH,A,2006,3.930326,
HUN,CPI,TOT,AGRWTH,A,2007,7.958745,
HUN,CPI,TOT,AGRWTH,A,2008,6.042512,
HUN,CPI,TOT,AGRWTH,A,2009,4.211712,
HUN,CPI,TOT,AGRWTH,A,2010,4.855558,
HUN,CPI,TOT,AGRWTH,A,2011,3.929921,
HUN,CPI,TOT,AGRWTH,A,2012,5.652145,
HUN,CPI,TOT,AGRWTH,A,2013,1.7332,
HUN,CPI,TOT,AGRWTH,A,2014,-0.2275663,
HUN,CPI,TOT,AGRWTH,A,2015,-0.06164468,
ISL,CPI,TOT,AGRWTH,A,2000,5.136475,
ISL,CPI,TOT,AGRWTH,A,2001,6.405086,
ISL,CPI,TOT,AGRWTH,A,2002,5.197023,
ISL,CPI,TOT,AGRWTH,A,2003,2.055662,
ISL,CPI,TOT,AGRWTH,A,2004,3.158195,
ISL,CPI,TOT,AGRWTH,A,2005,3.987048,
ISL,CPI,TOT,AGRWTH,A,2006,6.687074,
ISL,CPI,TOT,AGRWTH,A,2007,5.051564,
ISL,CPI,TOT,AGRWTH,A,2008,12.65457,
ISL,CPI,TOT,AGRWTH,A,2009,12.03511,
ISL,CPI,TOT,AGRWTH,A,2010,5.396337,
ISL,CPI,TOT,AGRWTH,A,2011,3.997347,
ISL,CPI,TOT,AGRWTH,A,2012,5.186329,
ISL,CPI,TOT,AGRWTH,A,2013,3.873658,
ISL,CPI,TOT,AGRWTH,A,2014,2.047772,
ISL,CPI,TOT,AGRWTH,A,2015,1.633566,
IRL,CPI,TOT,AGRWTH,A,2000,5.581288,
IRL,CPI,TOT,AGRWTH,A,2001,4.836587,
IRL,CPI,TOT,AGRWTH,A,2002,4.634376,
IRL,CPI,TOT,AGRWTH,A,2003,3.4993,
IRL,CPI,TOT,AGRWTH,A,2004,2.183153,
IRL,CPI,TOT,AGRWTH,A,2005,2.420117,
IRL,CPI,TOT,AGRWTH,A,2006,3.959756,
IRL,CPI,TOT,AGRWTH,A,2007,4.918761,
