"Data Source","World Development Indicators",

"Last Updated Date","2017-03-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24289.1415161326","","","","","","",
"Afghanistan","AFG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","372.93264112589","386.090617351516","373.687924621039","400.122936494632","409.20368760161","452.948223919749","457.785872996384","540.198285108443","569.940728793286","587.005047845623","651.001851952577","643.081145950878","632.054805733833","619.75131158497","",
"Angola","AGO","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","2802.21981337729","2800.64725045044","2944.92037353122","3033.39666036172","2967.82624825888","2877.32329830669","2757.4774072495","2485.57398500631","1810.84041447971","1814.69739574175","1942.87722748771","2098.97986731394","2202.92693545204","2288.84443899524","2295.95776289288","2293.39140168272","2312.76485276056","2079.18202998279","2112.02468253553","2260.00845965866","2580.59271846522","3010.06539097731","3566.5541957381","3924.66542793882","3886.58864909887","3886.47935432524","3905.81805278903","3972.60095029394","4105.27990027826","4164.1187358212","4153.14625544588","",
"Albania","ALB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","2036.70378260739","2111.01594506024","2127.81625588175","2106.18057405411","2036.51871049385","2030.60068182686","2103.99990229052","2046.15050128083","1979.39438372787","2116.44007581918","1879.65476406386","1331.48594244312","1243.1349439421","1370.81467488563","1493.73394625507","1702.88693509859","1869.4323501486","1677.28346834666","1839.93041760641","2101.61115265187","2256.05096200161","2458.14998601316","2569.85829480965","2728.4181013355","2896.27787166584","3077.6797367138","3265.36562170136","3484.25411086376","3775.47844386383","3928.34082756573","4094.35883191918","4210.67707973313","4277.1433100358","4329.98683389411","4412.49347452612","4543.08796119982","",
"Andorra","AND","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","42132.3914766487","41881.5812649949","43051.3040455362","44203.3768276737","44657.542828686","43156.6831502735","43074.4746340727","42961.5964815632","42328.1217561955","41040.7651498667","40500.2657559085","38894.6246278751","37758.4225129701","36781.0841368024","35822.6766753504","35098.4193472569","34745.9516209571","35202.8760698146","35548.8308957728","35831.0049613477","35779.274101178","35289.9095572826","34269.4004197252","32748.9332812434","32618.2738724788","32915.6485952178","34212.0027645764","37397.9996599411","38749.2413046648","40165.9707022263","39865.0165142855","40804.2084457999","41424.1876040663","44086.0828773766","45482.1116250655","47305.0186837686","48198.2762106395","47380.6032669641","42935.2778709776","41364.6210195878","39641.746008498","38697.3039018639","39458.9229583425","41207.5585718513","","","",
"Arab World","ARB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","3597.14955460242","3936.65178290386","4140.92599608882","4083.07043094162","4369.4466372837","4657.30587260271","4692.74566276508","4408.97730975076","4158.7225107344","4106.86891441118","3966.48637355312","3871.15562898256","3786.09485485094","3821.85315061944","3809.79685506095","4071.21063949851","3916.14064664648","4040.55476661772","4094.73192690572","4127.1262393392","4118.41057986563","4221.03859873633","4330.05287525659","4463.45666799775","4504.13174109012","4637.21833153454","4640.80696318704","4612.23918328183","4705.97238015756","5050.95399657434","5241.18974382232","5493.47793179154","5665.13246456187","5876.983807312","5824.51538944443","5957.98900867645","6023.92365343629","6217.49435696523","6300.17882109338","6343.35037137122","6415.76819171969","",
"United Arab Emirates","ARE","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","105514.028302048","105007.772811237","109738.550236564","94348.5908757664","101797.495187122","115003.430627938","111958.191937444","98542.4269759798","89262.2675110039","88347.5575330831","80747.2434390211","64823.2917314575","63113.6311572317","57846.263517583","61255.6055633901","68507.5567162531","65422.6245153987","64067.2336688323","61556.606573091","62555.5408384687","63561.210479143","64043.8870196999","65885.3960918428","62728.8946397678","61182.9988702934","64133.1471962717","61640.5966337459","59862.7918467036","60968.2784197915","60917.8695371865","56663.745383122","53942.2151558883","47891.3450334481","43045.3303290853","36525.7589582788","34341.9112921486","34454.0112718863","35899.1164309765","37233.1074791224","38184.8600937797","39313.2744016019","",
"Argentina","ARG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","5620.19038589989","5830.79370544918","5690.24566393561","5304.92230306791","5753.95411489123","6268.04971395337","6137.09057553995","6243.66082433641","6452.17414789345","6973.3725582556","7075.72996459955","7355.38763657921","7349.5346457552","7427.18777102081","7706.42372934464","7579.37089950417","7311.35203865877","7701.57026433987","7246.90375100915","7870.36821181337","8074.23717342883","7498.14027748373","7015.68527207634","7173.55515706281","7217.98192775041","6567.67798837316","6977.37351468736","7072.86106279179","6790.34491057949","6190.20523230411","5955.65064435761","6616.37944137572","7304.92459295137","7633.05268115112","7973.99206210018","7650.43821012712","7976.41417060256","8523.68857162045","8752.30792240127","8362.21390619695","8204.58193975182","7756.18701774182","6834.96226133794","7357.40844604583","7934.90232969719","8548.2826368489","9147.75674613932","9869.91241203123","10169.1626510412","9460.01796269121","10332.0323662966","10853.2595338679","10626.8391493367","10758.2824183138","10375.2960776626","10514.5878947271","",
"Armenia","ARM","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1793.62613417503","1598.5560994168","947.193479036872","884.303933987222","954.644256195191","1041.65528071783","1120.03976903744","1170.4310757001","1265.83493903113","1315.69619536397","1401.34947200196","1543.32999210592","1754.16828186866","2007.60186422875","2225.40450507292","2543.27256157207","2891.16617860331","3304.13507922173","3547.65920349707","3054.82611092328","3124.78401786195","3266.70168361635","3489.72888909098","3588.20032485784","3700.11028758632","3796.51682523475","",
"American Samoa","ASM","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
